user_influence,network,metric_type,metric_value,readability,multimedia_presence,reach,longevity
0.0860,1,1,0.0018,63.02,0,2890,6
0.1144,1,1,0.0016,88.43,0,2027,11
0.1131,1,1,0.0025,43.73,1,1019,7
0.1148,1,1,0.0018,48.16,0,3106,9
0.0492,1,1,0.0072,49.15,0,1882,9
0.1126,1,1,0.0023,64.07,0,512,2
0.1706,1,1,0.0023,76.72,0,44166,15
0.1124,1,1,0.0016,51.34,0,237,3
0.1251,1,1,0.0018,75.2,0,14872,15
0.1127,1,1,0.0016,34.26,0,910,6
0.1130,1,1,0.0016,46.1,0,1098,4
0.1125,1,1,0.0018,76.72,0,2116,1
0.1703,1,1,0.0042,76.72,0,43763,15
0.1698,1,1,0.0042,76.72,0,43695,15
0.1050,1,1,0.0028,59.97,0,666,2
0.1143,1,1,0.0021,38.99,0,5731,7
0.1125,1,1,0.0016,80.62,0,569,2
0.0966,1,1,0.0028,64.04,0,1048,3
0.0508,1,1,0.0021,36.28,0,12957,10
0.2286,1,1,0.0265,58.62,0,1663375,2
0.1126,1,1,0.0048,70.8,1,1842,3
0.1125,1,1,0.0018,69.28,1,196,3
0.1126,1,1,0.0021,36.28,0,4976,1
0.1129,1,1,0.0069,48.13,0,1963,1
0.1124,1,1,0.0016,52.36,0,32,1
0.0988,1,1,0.0025,67.76,0,11181,1
0.1124,1,1,0.0018,69.28,0,320,1
0.1078,1,1,0.0062,83.66,0,1588,3
0.1126,1,1,0.0032,50.16,0,828,3
0.1159,1,1,0.0016,71.82,0,3686,9
0.1640,1,1,0.0018,76.72,0,105191,15
0.1048,1,1,0.0018,72.32,0,1739,2
0.2503,1,1,0.0035,69.28,0,2121687,6
0.1053,1,1,0.0021,57.61,0,9440,2
0.1047,1,1,0.0016,80.28,0,592,3
0.1099,1,1,0.0016,67.76,0,3294,2
0.1124,1,1,0.0030,56.93,0,203,2
0.1164,1,1,0.0016,68.26,0,4046,10
0.1151,1,1,0.0016,44.91,0,2887,5
0.0881,1,1,0.0018,50.16,0,1491,2
0.1707,1,1,0.0016,76.72,0,46155,15
0.1571,1,1,0.0048,60.31,0,672129,3
0.1161,1,1,0.0016,34.26,0,14837,7
0.1136,1,1,0.0030,88.43,0,5438,12
0.1143,1,1,0.0035,26.81,0,13072,5
0.1695,1,1,0.0039,76.72,0,43833,15
0.1159,1,1,0.0016,71.82,0,4145,9
0.1681,1,1,0.0044,76.72,0,43201,15
0.1125,1,1,0.0048,55.24,1,2945,1
0.1064,1,1,0.0021,88.43,0,2398,2
0.1055,1,1,0.0016,84.17,0,124,1
0.1094,1,1,0.0032,71.48,0,7386,1
0.1128,1,1,0.0016,80.58,0,2162,2
0.0728,1,1,0.0042,72.32,0,7039,2
